小说,猎豹,[挪] 尤·奈斯博, 湖南文艺出版社/博集天卷, Panserhjert,,, 2016-11-1, 624, 58.00元（全两册）, 平装,“哈利·霍勒警探”系列, 9787540478162, 9.1 ,580,62.4,30.2,6.6,0.7,0.2
小说,棕色的世界,[英] 格林·狄龙 著绘, 世界图书出版公司, The Nao of Brown,,, 2017-1, 208, 128.00元, 精装,, 9787510060182, 9.0 ,132,63.6,23.5,10.6,2.3,0.0
小说,伊比库斯的预言,[法] 帕斯卡尔·拉巴泰[Pascal Rabaté], 北京联合出版公司·后浪出版公司, IBICUS,,, 2016-12, 536, 128.00元, 精装,后浪漫, 9787550287600, 8.4 ,21,81.0,19.0,0.0,0.0,0.0
小说,古文物专家的鬼故事,[英] 蒙塔古·罗兹·詹姆斯, 人民文学出版社,,,, 2016-11, 496, 52.00, 平装,域外聊斋, 9787020120451, 7.6 ,21,38.1,47.6,9.5,0.0,4.8
小说,安尼尔的鬼魂,[加拿大] 迈克尔·翁达杰[Michael Ondaatje], 人民文学出版社, Anil&#39;s Ghost,,, 2016-5, 288, 45.00元, 平装,迈克尔·翁达杰作品系列, 9787020114085, 8.0 ,417,30.7,46.3,17.5,3.4,2.2
小说,My Brilliant Friend,Elena Ferrante, Europa Editions, L&#39;amica geniale, Neapolitan Novels Book One,, 2012-9-25, 331, USD 17.00, Paperback,, 9781609450786, 8.7 ,41,34.1,58.5,7.3,0.0,0.0
小说,朱雀,葛亮, 人民文学出版社,,,, 2016-10, 380, 42.00元, 平装,“葛亮”作品, 9787020118083, 7.4 ,39,23.1,38.5,33.3,2.6,2.6
小说,认识电影 （全彩插图第12版）,[美] 路易斯·贾内梯, 北京联合出版公司·后浪出版公司, Understanding Movies 12e,,, 2016-9, 584, 280.00元, 精装,后浪电影学院, 9787550270206, 9.4 ,422,73.2,22.7,3.3,0.5,0.2
小说,在人群中消失的日子,沈熹微, 人民文学出版社,,,, 2016-10-10, 260, 36, 平装,, 9787020118465, 9.4 ,126,65.9,23.8,5.6,1.6,3.2
小说,无人生还,[英] 阿加莎·克里斯蒂, 新星出版社, And Then There Were None,,, 2016-10, 304, 35.00元, 精装,午夜文库·大师系列：阿加莎·克里斯蒂作品, 9787513322331, 8.9 ,3020,60.7,32.0,6.7,0.6,0.1
